age,monthly_income,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,brand_loyalty_score,environmental_awareness,time_pressure_level,shopping_preference,digital_engagement,online_intensity,physical_preference,online_spend_ratio,gender_Female,gender_Male,gender_Other,city_tier_Tier 1,city_tier_Tier 2,city_tier_Tier 3
40,107115,9,2.2,8,1,3,13,40543,46725,4,8,6,9,6,3,8,7,2,5,2,3.4000000000000004,0.17647058823529413,3.3,0.37849620971656894,True,False,False,False,False,True
28,217693,7,2.6,2,4,27,8,83429,122126,9,2,7,9,3,7,10,7,6,5,2,8.8,0.75,1.8,0.38323977693459627,False,False,True,False,True,False
28,92926,9,2.5,1,7,8,16,81177,19617,8,7,6,4,10,6,9,1,5,8,2,9.399999999999999,0.32,4.6,0.8735566627567876,False,True,False,False,True,False
41,224888,6,2.4,2,9,37,13,49294,103713,7,4,3,3,1,2,10,5,5,1,2,6.300000000000001,0.7254901960784313,8.3,0.2191925794503066,False,True,False,False,True,False
70,235726,11,1.5,10,10,6,18,73565,139218,8,1,6,6,1,1,9,8,4,10,2,8.3,0.24,11.8,0.3120771061439716,False,True,False,True,False,False
53,85400,7,2.6,6,7,0,1,30148,58440,4,1,7,1,1,7,5,5,3,1,2,11.7,0.0,10.1,0.3530169435955082,False,False,True,False,True,False
57,114525,9,4.6,4,10,34,13,98395,98336,7,4,1,4,2,7,10,8,7,6,2,15.799999999999999,0.7083333333333334,6.3,0.8591498873618217,True,False,False,True,False,False
41,116164,14,2.4,7,5,46,8,23909,42179,3,1,5,2,10,9,1,5,6,8,2,10.9,0.8363636363636363,3.8,0.2058193087418758,True,False,False,False,True,False
20,238457,12,4.1,2,1,33,4,68110,67109,5,2,6,9,6,7,1,4,9,9,2,9.6,0.868421052631579,10.4,0.2856268189786042,False,False,True,False,False,True
39,239174,4,6.0,1,1,8,14,10025,127299,2,9,1,7,10,2,7,8,3,1,2,14.6,0.34782608695652173,3.4,0.041914915856590365,False,True,False,False,False,True
70,156774,9,1.4,5,9,25,5,38287,3848,8,8,5,9,9,4,7,6,9,2,1,10.1,0.8064516129032258,10.5,0.2442162334555892,False,False,True,False,False,True
19,121732,3,3.2,9,4,7,15,46394,22500,2,5,7,7,1,5,10,1,6,2,2,8.6,0.30434782608695654,5.5,0.3811127631784315,True,False,False,False,True,False
41,30385,14,1.0,6,3,18,10,119035,18547,7,8,1,2,10,8,2,6,4,3,2,6.1,0.6206896551724138,5.0,3.917429079181202,False,False,True,False,True,False
61,24336,12,2.3,6,5,25,8,44546,41489,8,6,2,2,10,6,4,2,3,8,2,8.5,0.7352941176470589,2.8,1.8303817233019681,True,False,False,True,False,False
47,80421,14,5.7,1,7,45,11,10716,25969,6,0,2,8,4,6,4,8,2,3,2,10.299999999999999,0.7894736842105263,11.1,0.13324712143443337,False,True,False,False,True,False
55,177297,11,3.3,1,7,9,7,132880,135540,4,1,4,9,5,6,1,3,4,8,2,9.399999999999999,0.5294117647058824,10.7,0.7494726392852711,False,False,True,True,False,False
19,51021,12,2.9,4,5,42,16,66778,89620,4,8,2,6,10,6,7,1,8,6,2,10.4,0.711864406779661,4.6,1.3088079651914861,False,True,False,False,False,True
77,149854,14,1.0,2,8,29,11,31420,31294,6,2,6,3,6,4,1,9,6,4,2,9.9,0.7073170731707317,9.1,0.2096693470354676,True,False,False,False,True,False
38,234949,8,1.7,3,5,39,0,65173,45371,8,7,2,9,10,9,5,7,9,6,2,7.4,0.975,2.0,0.27739093424132794,False,False,True,False,False,True
50,132369,3,1.4,6,10,35,7,10737,31314,9,6,6,7,1,9,4,6,8,9,1,11.200000000000001,0.813953488372093,4.7,0.08111354536526404,False,True,False,True,False,False
29,235702,3,1.2,10,4,30,0,13603,52812,6,5,1,1,3,6,7,10,2,3,2,8.9,0.967741935483871,4.0,0.05771246017233552,True,False,False,True,False,False
75,64111,3,3.6,1,6,7,12,48524,1669,3,9,5,9,10,9,1,9,2,2,1,11.6,0.35,9.2,0.7568629897679061,True,False,False,True,False,False
39,104402,9,3.4,10,3,41,4,112987,126335,10,7,7,2,2,2,10,7,10,5,2,7.8999999999999995,0.8913043478260869,5.4,1.082219859582579,True,False,False,False,True,False
78,134774,10,2.3,2,4,46,19,82204,119167,4,7,2,5,4,9,10,3,8,6,2,12.299999999999999,0.696969696969697,11.9,0.6099350769801521,False,True,False,False,True,False
61,230657,14,1.8,4,8,12,4,35393,74710,5,9,2,7,5,10,5,5,7,7,2,9.700000000000001,0.7058823529411765,10.4,0.15344362649463708,False,False,True,False,True,False
42,57719,3,3.4,6,10,36,7,30975,72627,3,7,3,10,8,8,2,3,6,7,2,9.7,0.8181818181818182,1.7,0.5366424116424117,True,False,False,True,False,False
66,242600,6,4.7,3,10,29,10,108742,123073,5,0,1,3,9,9,6,6,10,3,2,10.7,0.725,3.0,0.44823393143474266,True,False,False,False,False,True
44,195109,11,3.8,9,3,14,19,129743,128262,8,6,2,9,7,3,7,3,10,4,2,9.5,0.4117647058823529,11.9,0.6649736046332838,True,False,False,False,True,False
76,226175,14,2.6,10,10,34,7,7720,121589,4,7,7,3,6,10,5,7,5,6,2,7.6,0.8095238095238095,9.7,0.03413271080928127,True,False,False,False,True,False
59,140695,4,3.7,4,3,2,9,134176,148247,7,1,6,2,9,3,8,5,2,2,2,12.0,0.16666666666666666,9.9,0.9536589526354694,False,False,True,True,False,False
45,149585,14,3.8,7,6,28,4,28170,36288,1,3,6,10,8,10,10,7,4,8,2,8.6,0.8484848484848485,7.4,0.18831976254462315,False,True,False,True,False,False
77,159407,2,2.7,5,8,23,19,73135,125311,7,5,6,3,7,8,10,5,1,10,2,10.100000000000001,0.5348837209302325,8.9,0.4587912777275921,False,False,True,False,False,True
33,190212,12,2.7,6,10,44,2,9795,144291,1,3,2,10,7,5,9,3,1,6,2,8.8,0.9361702127659575,9.2,0.051494903082334016,False,True,False,True,False,False
32,119126,12,1.8,9,2,22,4,68655,62518,2,1,4,6,9,7,6,5,5,9,2,9.299999999999999,0.8148148148148148,7.4,0.5763177113500718,True,False,False,False,True,False
79,226445,3,3.6,9,1,8,14,114331,37757,1,1,3,1,1,5,1,1,8,5,2,11.299999999999999,0.34782608695652173,3.4,0.5048929987723343,False,False,True,True,False,False
79,92658,5,2.3,6,10,1,13,13016,22135,3,1,5,4,7,8,7,1,6,5,2,8.0,0.06666666666666667,8.3,0.1404720534432705,False,False,True,False,False,True
64,180912,10,1.2,2,1,14,4,31116,55921,8,1,1,4,6,10,1,2,3,8,2,7.2,0.7368421052631579,4.4,0.1719942734905728,False,False,True,False,False,True
79,46007,4,1.3,9,7,31,1,126467,56756,8,6,5,5,2,10,2,1,1,7,2,5.1000000000000005,0.9393939393939394,7.1,2.7488045557294383,True,False,False,True,False,False
68,203019,5,2.4,2,2,17,6,126412,15024,7,8,2,10,7,10,3,7,3,7,0,12.0,0.7083333333333334,6.6,0.6226578662200768,True,False,False,False,True,False
61,121833,13,1.3,2,9,28,6,139574,106040,7,9,7,2,2,8,7,2,8,6,2,10.3,0.8,9.6,1.1456079583695848,False,True,False,False,True,False
72,133637,12,6.0,2,10,39,13,74782,66488,5,8,4,1,2,1,1,4,1,7,2,10.2,0.7358490566037735,5.3,0.5595863452012152,False,False,True,True,False,False
69,135721,11,3.1,7,4,2,14,108383,117518,10,5,3,9,9,6,6,5,8,7,2,7.800000000000001,0.11764705882352941,5.4,0.7985661867641207,True,False,False,True,False,False
74,108220,1,1.9,4,7,32,16,45068,102512,9,9,1,2,3,4,4,3,2,7,2,8.299999999999999,0.6530612244897959,7.6,0.4164441282191072,False,False,True,True,False,False
20,41393,4,2.7,8,5,6,8,5913,42042,1,2,3,8,9,1,4,5,5,3,2,9.3,0.4,10.8,0.14284678938976664,False,False,True,True,False,False
54,72480,11,3.5,8,5,29,3,52392,93220,4,6,3,3,6,8,3,10,7,1,2,8.6,0.8787878787878788,10.3,0.7228377091927539,False,False,True,True,False,False
68,132243,10,2.8,1,7,26,15,133331,123696,6,7,3,8,4,5,7,2,7,1,2,7.2,0.6190476190476191,10.5,1.0082196545779014,False,True,False,False,True,False
24,103290,3,1.3,1,9,37,13,33872,73035,4,8,5,2,7,1,5,7,1,6,2,9.0,0.7254901960784313,6.3,0.3279278930400519,False,False,True,False,True,False
38,232407,13,2.4,4,4,28,0,52668,123722,2,3,3,3,7,2,8,9,5,8,2,12.3,0.9655172413793104,6.0,0.22661870503597123,False,True,False,False,False,True
26,119263,2,2.2,2,9,30,1,23421,955,2,4,6,4,4,7,8,5,5,8,1,9.200000000000001,0.9375,2.1,0.19637946069224577,False,False,True,False,False,True
56,155179,7,1.9,3,9,0,12,52138,79761,2,0,2,10,3,10,1,9,3,4,2,8.200000000000001,0.0,8.2,0.33598401855909266,True,False,False,False,True,False
35,20993,10,1.4,10,8,40,7,24961,12163,7,4,7,10,4,9,5,7,2,2,1,7.3999999999999995,0.8333333333333334,4.7,1.1889587501190817,False,True,False,True,False,False
21,242413,9,3.6,2,1,42,8,112610,37711,5,9,6,9,6,6,4,4,4,10,2,7.5,0.8235294117647058,3.8,0.46453587664078805,True,False,False,True,False,False
42,108650,1,3.1,10,10,26,9,103258,140980,2,6,2,3,7,10,6,5,3,9,2,8.8,0.7222222222222222,1.9,0.950364009535117,False,False,True,False,True,False
77,249397,12,3.1,9,9,26,19,10552,143281,9,1,6,4,4,4,7,7,10,1,2,12.3,0.5652173913043478,2.9,0.04230988219632876,True,False,False,False,False,True
31,132595,7,0.1,6,3,28,9,70970,20249,2,4,2,4,8,3,5,6,2,10,2,2.3,0.7368421052631579,6.9,0.535234848713385,False,True,False,True,False,False
67,67066,11,2.0,7,8,4,15,131931,84210,7,8,6,10,4,1,5,6,1,9,2,8.9,0.2,3.5,1.9671522507343402,True,False,False,False,True,False
75,126850,12,4.1,6,5,2,8,63618,6736,1,2,7,3,10,4,9,8,4,4,2,10.7,0.18181818181818182,9.8,0.5015175284388771,False,True,False,True,False,False
26,57942,1,3.0,1,6,28,5,42865,74798,6,1,4,9,6,3,8,4,4,4,2,9.799999999999999,0.8235294117647058,9.5,0.7397787480800097,False,True,False,False,False,True
43,31138,5,1.0,5,3,40,11,20700,93830,6,4,4,10,5,3,8,8,3,5,2,8.8,0.7692307692307693,4.1,0.6647612318956935,False,False,True,False,True,False
70,133558,1,4.7,3,7,38,16,112780,45820,5,8,3,4,1,2,5,5,3,10,2,11.5,0.6909090909090909,10.6,0.8444208177659311,False,False,True,True,False,False
19,190599,3,0.0,10,2,12,9,45262,75090,7,9,6,8,7,10,1,3,9,6,2,5.3,0.5454545454545454,8.9,0.23747114375655823,False,True,False,False,False,True
37,24190,8,2.7,8,3,32,10,95314,64682,10,3,1,5,3,2,10,7,1,6,2,7.7,0.7441860465116279,11.0,3.940060353023852,True,False,False,False,False,True
45,107259,13,4.7,7,2,19,8,121443,2632,8,0,4,6,9,3,8,3,10,7,1,13.5,0.6785714285714286,8.8,1.1322300950960282,True,False,False,False,False,True
64,93422,4,0.5,9,9,2,17,12681,73056,2,5,5,3,10,7,2,1,10,10,2,9.5,0.1,8.7,0.13573745223339007,False,False,True,False,False,True
77,201770,12,1.9,1,3,5,2,14174,80428,3,8,7,9,6,3,3,7,8,2,2,13.800000000000002,0.625,5.2,0.07024795436410584,False,True,False,False,False,True
24,97315,1,0.7,2,8,42,4,81080,1415,8,3,2,4,5,1,3,4,7,1,1,6.9,0.8936170212765957,4.4,0.8331620699576637,False,True,False,False,True,False
61,239782,1,4.3,2,6,16,4,40995,33647,5,8,3,6,6,5,3,3,9,7,2,9.6,0.7619047619047619,5.4,0.17096708273730832,False,True,False,False,False,True
78,44086,8,1.4,1,1,46,4,85145,53410,6,6,5,6,7,8,5,4,10,5,2,8.4,0.9019607843137255,9.4,1.9312949395513417,False,False,True,False,True,False
25,163394,14,3.8,8,6,3,10,115514,107200,4,0,5,8,5,8,8,4,4,6,2,11.299999999999999,0.21428571428571427,5.0,0.7069616573334557,False,True,False,True,False,False
64,140604,8,4.3,4,8,32,3,25654,113813,1,5,1,10,5,5,1,6,2,5,2,12.4,0.8888888888888888,9.3,0.18245439351374418,False,False,True,False,False,True
52,115814,4,0.8,7,10,32,4,46668,53060,8,1,6,8,4,8,8,6,10,8,2,9.5,0.8648648648648649,9.4,0.40295298536459007,True,False,False,False,True,False
31,134324,4,0.6,10,3,5,18,53741,92824,4,7,6,6,4,4,6,3,2,3,2,8.2,0.20833333333333334,11.8,0.4000818909361623,True,False,False,False,True,False
34,229641,10,3.1,1,7,40,10,127570,40905,9,6,7,1,3,3,10,6,8,1,2,11.999999999999998,0.7843137254901961,7.0,0.5555168479633517,False,True,False,False,True,False
53,231682,11,3.5,8,6,13,11,6497,6128,2,6,2,8,8,2,1,1,5,1,1,12.5,0.52,6.1,0.028042627210455667,False,True,False,False,False,True
67,143921,2,2.4,8,1,45,16,98084,69949,8,3,7,7,6,6,8,3,5,2,2,11.0,0.7258064516129032,3.6,0.6815080390767221,True,False,False,False,False,True
57,18435,2,2.5,10,2,6,14,42909,146654,9,0,2,5,7,8,6,10,2,2,2,4.2,0.2857142857142857,5.4,2.3274571490561944,True,False,False,False,True,False
21,116505,12,4.4,3,5,5,1,127783,33220,6,6,4,8,3,8,1,7,7,4,2,11.4,0.7142857142857143,3.1,1.0967932981992343,True,False,False,False,False,True
19,68331,6,2.2,9,7,2,0,46694,136414,8,4,4,6,9,6,1,4,10,7,2,7.1000000000000005,0.6666666666666666,10.0,0.6833401627348826,True,False,False,False,False,True
79,175014,8,4.3,5,4,36,5,39103,143083,4,4,5,1,10,7,4,6,9,3,2,12.799999999999999,0.8571428571428571,9.5,0.22342656343741965,False,True,False,True,False,False
23,205707,7,1.8,5,6,21,0,99870,77294,10,8,5,4,7,2,10,7,3,2,2,3.8000000000000003,0.9545454545454546,4.0,0.4854940012055924,False,False,True,False,False,True
71,175131,7,5.6,5,2,37,14,75058,101241,1,2,5,4,6,5,3,8,7,7,2,14.7,0.7115384615384616,7.4,0.4285795856839413,False,False,True,True,False,False
59,203629,3,1.3,1,5,7,1,116877,85088,2,4,2,1,4,4,3,10,1,3,2,6.1,0.7777777777777778,6.1,0.5739674900554929,False,True,False,False,True,False
21,128457,12,4.0,10,10,23,7,60914,86637,1,9,5,10,1,2,7,10,6,4,2,8.8,0.7419354838709677,2.7,0.4741938999517352,False,True,False,False,True,False
71,67389,2,1.2,2,3,12,15,108663,12756,9,1,6,1,9,8,10,6,10,2,2,8.200000000000001,0.42857142857142855,10.5,1.6124499183855172,False,False,True,False,False,True
46,68014,10,3.5,1,1,12,15,100090,14593,5,4,7,6,4,7,3,6,8,5,2,8.9,0.42857142857142855,5.5,1.4715871498934059,True,False,False,True,False,False
35,178898,7,2.5,2,6,0,15,134009,122334,6,4,2,1,9,5,1,5,7,10,2,12.7,0.0,4.5,0.7490762944454692,False,True,False,True,False,False
43,45297,4,2.9,9,9,40,19,133533,51599,8,1,4,8,4,10,2,5,8,10,2,12.5,0.6666666666666666,3.9,2.9478784935317233,False,False,True,False,True,False
61,58890,1,3.4,9,10,35,18,54175,15079,9,8,1,2,8,5,7,3,2,10,0,9.4,0.6481481481481481,11.8,0.9199198519298365,False,True,False,True,False,False
51,36322,1,2.8,5,8,31,1,89984,1755,3,2,4,3,10,7,5,4,3,7,1,11.7,0.9393939393939394,8.1,2.4773284145032073,False,True,False,True,False,False
27,50739,4,2.7,4,4,4,19,96448,40057,2,0,2,3,2,9,10,10,6,1,2,8.0,0.16666666666666666,5.9,1.9008277493102088,True,False,False,False,True,False
79,155791,5,0.1,2,8,48,13,88080,131816,3,3,2,4,8,5,10,3,6,10,2,5.8,0.7741935483870968,11.3,0.5653692102290233,False,True,False,False,True,False
53,94553,5,4.3,6,5,6,1,111721,12894,6,3,4,8,4,5,10,8,2,5,1,12.2,0.75,1.1,1.1815576284451212,False,True,False,False,False,True
31,23314,1,4.5,9,3,49,18,12272,95966,1,4,4,3,8,1,8,10,1,10,2,13.700000000000001,0.7205882352941176,8.8,0.5263564229037101,True,False,False,True,False,False
48,108831,3,2.4,8,4,44,1,132569,27317,2,2,2,1,4,1,6,4,4,2,2,7.9,0.9565217391304348,10.1,1.218106806821523,False,True,False,False,False,True
65,90164,6,3.2,10,7,31,17,90211,118307,8,7,3,3,5,4,7,8,1,10,2,9.2,0.6326530612244898,9.7,1.0005101757888315,True,False,False,True,False,False
32,122658,10,4.3,4,5,27,16,31685,132793,8,6,4,9,4,5,8,2,5,3,2,11.399999999999999,0.6136363636363636,2.6,0.25831777529573857,False,True,False,False,True,False
25,92028,7,3.3,6,4,32,18,65991,51025,6,0,5,9,3,2,8,9,7,9,2,7.9,0.6274509803921569,5.8,0.7170674461311108,False,True,False,False,False,True
31,51113,11,1.8,9,3,45,13,147375,78112,8,0,6,9,3,5,2,5,1,4,2,11.200000000000001,0.7627118644067796,8.3,2.8832609461204366,False,True,False,False,False,True
40,132174,1,0.9,10,3,13,16,130017,1691,8,7,7,4,9,1,10,5,8,8,1,5.4,0.43333333333333335,2.6,0.983673160582561,False,True,False,False,True,False
77,161429,8,3.3,10,10,12,15,78190,20030,5,4,4,10,8,4,6,6,5,3,2,9.0,0.42857142857142855,11.5,0.48435854549959734,False,True,False,True,False,False
74,244937,4,2.7,4,6,28,18,127092,79753,4,1,1,9,5,3,7,1,1,3,2,12.799999999999999,0.5957446808510638,6.8,0.5188741640741739,False,False,True,False,True,False
79,35365,13,2.5,9,8,49,16,48155,140662,7,7,2,2,2,8,2,1,4,6,2,9.700000000000001,0.7424242424242424,4.6,1.3616185036475712,True,False,False,False,False,True
57,54029,9,1.5,8,4,39,11,141672,134032,10,7,1,6,4,4,3,4,10,10,2,11.8,0.7647058823529411,11.1,2.6220988339811218,False,True,False,False,True,False
38,16737,11,2.1,3,1,0,3,33852,33315,1,6,1,3,6,8,1,10,4,6,2,7.799999999999999,0.0,1.3,2.022463854701876,True,False,False,True,False,False
33,146042,11,2.9,9,4,46,7,5641,40673,7,6,3,2,6,2,1,7,2,1,2,14.3,0.8518518518518519,3.7,0.03862561026546976,False,True,False,False,True,False
62,220704,6,2.1,5,5,48,0,117780,144379,8,9,4,8,6,1,8,5,4,10,2,9.8,0.9795918367346939,7.0,0.533653519403729,False,False,True,True,False,False
35,100474,1,2.5,1,8,48,13,87037,17572,3,1,5,8,3,1,9,1,3,2,2,7.8,0.7741935483870968,8.3,0.8662552873849216,True,False,False,True,False,False
64,93218,2,2.5,8,7,26,8,78000,97914,8,9,6,4,4,4,6,6,10,10,2,7.7,0.7428571428571429,10.8,0.8367392913461847,False,True,False,True,False,False
70,173571,3,3.4,5,2,29,17,133230,128907,6,3,4,7,6,4,7,5,5,10,2,6.7,0.6170212765957447,2.7,0.767577719908741,True,False,False,True,False,False
41,143692,2,0.6,5,9,33,11,73094,91378,3,8,2,10,1,7,3,8,6,9,2,4.8,0.7333333333333333,11.1,0.5086817033536777,False,False,True,False,False,True
43,192229,10,2.0,2,3,45,1,37559,29767,6,8,4,7,9,2,2,9,6,1,2,7.0,0.9574468085106383,5.1,0.19538573583727825,False,True,False,False,False,True
42,202319,7,1.1,9,9,0,5,133247,126515,6,1,3,4,3,2,4,5,6,7,2,6.0,0.0,10.5,0.658595294582839,False,False,True,False,True,False
77,143411,12,2.7,6,1,33,4,20371,45220,4,9,5,5,7,2,4,8,3,2,2,3.8000000000000003,0.868421052631579,9.4,0.14204529607006386,False,False,True,False,True,False
77,187106,1,1.4,10,9,6,17,57614,75449,5,1,2,9,10,1,8,4,10,10,2,10.0,0.25,5.7,0.30792006712736564,False,True,False,True,False,False
77,15294,9,3.7,3,7,0,13,63404,86376,5,1,2,2,9,3,2,10,9,7,2,12.0,0.0,3.3,4.145406995750245,False,True,False,True,False,False
62,244144,2,2.0,7,2,41,14,111401,132192,6,4,1,1,2,5,10,8,10,1,2,8.799999999999999,0.7321428571428571,8.4,0.45629031927747854,False,False,True,False,False,True
58,39596,4,1.8,2,10,17,12,20920,123720,6,7,2,2,10,2,8,1,3,4,2,6.5,0.5666666666666667,9.2,0.5283228527413693,False,True,False,False,False,True
46,113185,8,1.4,7,7,34,8,78438,14175,3,2,3,3,6,3,4,4,8,8,1,11.4,0.7906976744186046,1.8,0.693000901171523,False,False,True,False,False,True
32,26434,11,2.8,2,1,49,18,52711,92060,2,8,1,6,8,7,2,3,2,3,2,8.499999999999998,0.7205882352941176,11.8,1.9939852468318517,False,True,False,True,False,False
62,73382,3,0.8,5,3,18,0,53242,76108,1,0,4,5,4,7,3,5,3,8,2,5.3999999999999995,0.9473684210526315,7.0,0.7255358870583105,True,False,False,False,True,False
18,53098,9,2.4,10,7,12,7,124737,50307,1,4,7,3,1,7,9,5,8,5,2,9.6,0.6,9.7,2.3491402851277803,False,True,False,False,True,False
42,19655,7,2.3,10,3,22,15,73916,25764,8,7,5,4,10,1,3,4,8,5,2,9.0,0.5789473684210527,2.5,3.7604802604802603,False,True,False,True,False,False
24,98029,10,1.8,9,2,1,6,83480,30866,4,1,5,6,1,7,8,2,4,9,2,3.0,0.125,10.6,0.8515760481485259,False,False,True,True,False,False
26,61228,12,2.8,9,5,2,15,144764,70719,5,5,2,4,2,4,4,2,6,1,2,9.2,0.1111111111111111,8.5,2.364304496235444,False,True,False,False,True,False
41,18771,12,1.9,6,3,21,12,100216,127455,8,2,7,6,10,7,3,8,1,9,2,8.4,0.6176470588235294,9.2,5.338589388450885,False,True,False,False,False,True
18,89099,3,2.9,3,9,35,12,52391,51551,10,8,5,4,1,4,10,9,9,4,2,9.0,0.7291666666666666,9.2,0.5880022446689114,False,False,True,False,False,True
61,135811,3,1.8,4,7,48,19,113169,80385,7,6,4,9,1,6,5,6,1,8,2,5.9,0.7058823529411765,11.9,0.8332768827496834,True,False,False,False,True,False
25,202871,5,1.5,4,1,7,18,110255,83619,4,8,7,4,5,5,6,3,5,4,2,5.0,0.2692307692307692,2.8,0.5434707598880082,False,False,True,False,False,True
41,77257,5,2.8,9,1,22,10,59559,20771,7,5,6,1,1,3,9,5,3,7,2,9.9,0.6666666666666666,5.0,0.7709104558751197,False,False,True,False,False,True
28,32558,10,3.5,4,6,7,15,43151,80138,3,8,5,2,1,1,2,5,1,3,2,11.6,0.30434782608695654,4.5,1.3253171166190607,True,False,False,False,False,True
68,245540,5,6.0,4,4,24,8,50494,17187,6,1,7,3,10,5,8,10,9,6,2,11.5,0.7272727272727273,8.8,0.2056438639575468,False,True,False,False,True,False
34,73436,12,2.1,5,1,34,12,134725,106660,2,9,1,2,9,1,7,4,5,5,2,9.0,0.723404255319149,2.2,1.8345656821493252,False,True,False,False,False,True
25,122779,13,3.5,6,9,46,18,145382,145371,6,1,2,6,8,4,8,6,4,7,2,9.5,0.7076923076923077,5.8,1.1840853559211597,False,False,True,True,False,False
52,139891,9,1.9,8,2,10,9,1164,86326,6,3,3,6,1,3,2,10,7,4,2,6.3999999999999995,0.5,2.9,0.00832070454350499,True,False,False,True,False,False
52,238175,9,3.5,1,1,40,6,80641,99481,3,4,5,9,7,3,6,10,1,1,2,10.0,0.851063829787234,2.6,0.3385773545613328,True,False,False,False,True,False
50,47376,6,4.2,5,3,42,16,70398,58088,10,9,5,3,5,4,7,1,9,5,2,8.200000000000001,0.711864406779661,7.6,1.4859108850286005,True,False,False,False,False,True
76,233530,11,2.7,9,10,5,9,113422,96655,9,8,2,5,7,9,3,1,5,5,2,13.5,0.3333333333333333,2.9,0.48568284296303277,True,False,False,False,True,False
22,92924,11,3.4,10,1,41,1,27127,117933,5,1,6,1,3,3,8,9,8,2,2,6.6,0.9534883720930233,3.1,0.29192359429647563,False,False,True,True,False,False
59,44332,7,3.1,4,4,41,17,52646,124644,5,7,1,3,6,7,5,6,9,1,2,10.1,0.6949152542372882,10.7,1.1875126880653237,False,False,True,False,False,True
56,146001,10,2.5,8,4,49,15,44124,33055,1,4,6,5,8,7,10,9,6,6,2,9.200000000000001,0.7538461538461538,7.5,0.3022150381501623,False,True,False,True,False,False
75,61737,8,1.9,9,6,44,2,118683,2722,4,8,2,7,9,7,4,10,9,9,1,8.6,0.9361702127659575,2.2,1.9223654799313228,False,False,True,False,False,True
58,145912,9,2.0,1,3,16,19,111162,97224,1,4,3,10,2,3,6,4,1,7,2,11.3,0.4444444444444444,3.9,0.7618375333246523,True,False,False,False,True,False
45,104031,6,0.8,8,9,35,0,75525,138233,10,1,6,2,6,4,6,6,7,5,2,2.7,0.9722222222222222,2.0,0.7259785450630575,False,True,False,True,False,False
24,220042,8,3.8,8,6,17,4,79855,23037,1,7,6,9,3,10,9,8,6,2,1,11.2,0.7727272727272727,3.4,0.36290634103334346,False,False,True,False,True,False
26,198024,2,4.9,5,7,32,0,33221,134171,7,0,7,3,4,9,7,1,6,6,2,11.1,0.9696969696969697,6.0,0.16776164625678575,True,False,False,False,False,True
25,35991,10,0.7,10,6,17,6,56962,128001,5,2,2,8,8,3,8,8,1,2,2,8.5,0.7083333333333334,2.6,1.5826294732162702,False,False,True,True,False,False
29,42472,8,3.8,2,9,6,17,121471,29468,8,3,6,3,3,6,9,3,6,4,2,10.799999999999999,0.25,11.7,2.859958091022532,False,True,False,True,False,False
