,age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender_Female,gender_Male,gender_Other,city_tier_Tier 1,city_tier_Tier 2,city_tier_Tier 3,shopping_preference_Hybrid,shopping_preference_Online,shopping_preference_Store
89,79,175014,8.1,8,4.3,5,4,36,5,39103,143083,4,4,5,1,10,7,4,9,6,9,3,False,True,False,True,False,False,False,False,True
90,23,205707,1.4,7,1.8,5,6,21,0,99870,77294,10,8,5,4,7,2,10,4,7,3,2,False,False,True,False,False,True,False,False,True
91,71,175131,8.9,7,5.6,5,2,37,14,75058,101241,1,2,5,4,6,5,3,6,8,7,7,False,False,True,True,False,False,False,False,True
92,59,203629,4.3,3,1.3,1,5,7,1,116877,85088,2,4,2,1,4,4,3,6,10,1,3,False,True,False,False,True,False,False,False,True
93,21,128457,3.8,12,4.0,10,10,23,7,60914,86637,1,9,5,10,1,2,7,2,10,6,4,False,True,False,False,True,False,False,False,True
94,71,67389,6.7,2,1.2,2,3,12,15,108663,12756,9,1,6,1,9,8,10,9,6,10,2,False,False,True,False,False,True,False,False,True
95,46,68014,5.3,10,3.5,1,1,12,15,100090,14593,5,4,7,6,4,7,3,4,6,8,5,True,False,False,True,False,False,False,False,True
96,35,178898,9.6,7,2.5,2,6,0,15,134009,122334,6,4,2,1,9,5,1,3,5,7,10,False,True,False,True,False,False,False,False,True
97,43,45297,8.7,4,2.9,9,9,40,19,133533,51599,8,1,4,8,4,10,2,2,5,8,10,False,False,True,False,True,False,False,False,True
98,61,58890,5.0,1,3.4,9,10,35,18,54175,15079,9,8,1,2,8,5,7,10,3,2,10,False,True,False,True,False,False,True,False,False
99,51,36322,8.1,1,2.8,5,8,31,1,89984,1755,3,2,4,3,10,7,5,8,4,3,7,False,True,False,True,False,False,False,True,False
100,27,50739,4.9,4,2.7,4,4,4,19,96448,40057,2,0,2,3,2,9,10,4,10,6,1,True,False,False,False,True,False,False,False,True
101,79,155791,4.9,5,0.1,2,8,48,13,88080,131816,3,3,2,4,8,5,10,10,3,6,10,False,True,False,False,True,False,False,False,True
102,53,94553,7.4,5,4.3,6,5,6,1,111721,12894,6,3,4,8,4,5,10,1,8,2,5,False,True,False,False,False,True,False,True,False
103,31,23314,8.9,1,4.5,9,3,49,18,12272,95966,1,4,4,3,8,1,8,7,10,1,10,True,False,False,True,False,False,False,False,True
104,48,108831,5.1,3,2.4,8,4,44,1,132569,27317,2,2,2,1,4,1,6,10,4,4,2,False,True,False,False,False,True,False,False,True
105,65,90164,5.3,6,3.2,10,7,31,17,90211,118307,8,7,3,3,5,4,7,8,8,1,10,True,False,False,True,False,False,False,False,True
106,32,122658,6.6,10,4.3,4,5,27,16,31685,132793,8,6,4,9,4,5,8,1,2,5,3,False,True,False,False,True,False,False,False,True
107,25,92028,4.2,7,3.3,6,4,32,18,65991,51025,6,0,5,9,3,2,8,4,9,7,9,False,True,False,False,False,True,False,False,True
108,31,51113,9.1,11,1.8,9,3,45,13,147375,78112,8,0,6,9,3,5,2,7,5,1,4,False,True,False,False,False,True,False,False,True
109,40,132174,4.2,1,0.9,10,3,13,16,130017,1691,8,7,7,4,9,1,10,1,5,8,8,False,True,False,False,True,False,False,True,False
110,77,161429,4.7,8,3.3,10,10,12,15,78190,20030,5,4,4,10,8,4,6,10,6,5,3,False,True,False,True,False,False,False,False,True
111,74,244937,9.5,4,2.7,4,6,28,18,127092,79753,4,1,1,9,5,3,7,5,1,1,3,False,False,True,False,True,False,False,False,True
112,79,35365,6.4,13,2.5,9,8,49,16,48155,140662,7,7,2,2,2,8,2,3,1,4,6,True,False,False,False,False,True,False,False,True
113,57,54029,9.9,9,1.5,8,4,39,11,141672,134032,10,7,1,6,4,4,3,10,4,10,10,False,True,False,False,True,False,False,False,True
114,38,16737,5.6,11,2.1,3,1,0,3,33852,33315,1,6,1,3,6,8,1,1,10,4,6,True,False,False,True,False,False,False,False,True
115,33,146042,11.0,11,2.9,9,4,46,7,5641,40673,7,6,3,2,6,2,1,3,7,2,1,False,True,False,False,True,False,False,False,True
116,62,220704,7.2,6,2.1,5,5,48,0,117780,144379,8,9,4,8,6,1,8,7,5,4,10,False,False,True,True,False,False,False,False,True
117,35,100474,4.5,1,2.5,1,8,48,13,87037,17572,3,1,5,8,3,1,9,7,1,3,2,True,False,False,True,False,False,False,False,True
118,64,93218,4.5,2,2.5,8,7,26,8,78000,97914,8,9,6,4,4,4,6,10,6,10,10,False,True,False,True,False,False,False,False,True
119,70,173571,3.1,3,3.4,5,2,29,17,133230,128907,6,3,4,7,6,4,7,1,5,5,10,True,False,False,True,False,False,False,False,True
120,41,143692,3.3,2,0.6,5,9,33,11,73094,91378,3,8,2,10,1,7,3,10,8,6,9,False,False,True,False,False,True,False,False,True
121,43,192229,4.7,10,2.0,2,3,45,1,37559,29767,6,8,4,7,9,2,2,5,9,6,1,False,True,False,False,False,True,False,False,True
122,42,202319,4.0,7,1.1,9,9,0,5,133247,126515,6,1,3,4,3,2,4,10,5,6,7,False,False,True,False,True,False,False,False,True
123,77,143411,1.0,12,2.7,6,1,33,4,20371,45220,4,9,5,5,7,2,4,9,8,3,2,False,False,True,False,True,False,False,False,True
124,77,187106,7.7,1,1.4,10,9,6,17,57614,75449,5,1,2,9,10,1,8,4,4,10,10,False,True,False,True,False,False,False,False,True
125,77,15294,7.6,9,3.7,3,7,0,13,63404,86376,5,1,2,2,9,3,2,2,10,9,7,False,True,False,True,False,False,False,False,True
126,62,244144,6.6,2,2.0,7,2,41,14,111401,132192,6,4,1,1,2,5,10,7,8,10,1,False,False,True,False,False,True,False,False,True
127,58,39596,3.7,4,1.8,2,10,17,12,20920,123720,6,7,2,2,10,2,8,8,1,3,4,False,True,False,False,False,True,False,False,True
128,46,113185,9.3,8,1.4,7,7,34,8,78438,14175,3,2,3,3,6,3,4,1,4,8,8,False,False,True,False,False,True,False,True,False
129,32,26434,5.6,11,2.8,2,1,49,18,52711,92060,2,8,1,6,8,7,2,10,3,2,3,False,True,False,True,False,False,False,False,True
130,62,73382,4.3,3,0.8,5,3,18,0,53242,76108,1,0,4,5,4,7,3,7,5,3,8,True,False,False,False,True,False,False,False,True
131,18,53098,6.5,9,2.4,10,7,12,7,124737,50307,1,4,7,3,1,7,9,9,5,8,5,False,True,False,False,True,False,False,False,True
132,42,19655,6.4,7,2.3,10,3,22,15,73916,25764,8,7,5,4,10,1,3,1,4,8,5,False,True,False,True,False,False,False,False,True
133,24,98029,1.0,10,1.8,9,2,1,6,83480,30866,4,1,5,6,1,7,8,10,2,4,9,False,False,True,True,False,False,False,False,True
134,26,61228,5.9,12,2.8,9,5,2,15,144764,70719,5,5,2,4,2,4,4,7,2,6,1,False,True,False,False,True,False,False,False,True
135,41,18771,6.2,12,1.9,6,3,21,12,100216,127455,8,2,7,6,10,7,3,8,8,1,9,False,True,False,False,False,True,False,False,True
136,18,89099,5.2,3,2.9,3,9,35,12,52391,51551,10,8,5,4,1,4,10,8,9,9,4,False,False,True,False,False,True,False,False,True
137,61,135811,3.4,3,1.8,4,7,48,19,113169,80385,7,6,4,9,1,6,5,10,6,1,8,True,False,False,False,True,False,False,False,True
138,25,202871,3.4,5,1.5,4,1,7,18,110255,83619,4,8,7,4,5,5,6,1,3,5,4,False,False,True,False,False,True,False,False,True
139,41,77257,7.0,5,2.8,9,1,22,10,59559,20771,7,5,6,1,1,3,9,4,5,3,7,False,False,True,False,False,True,False,False,True
140,28,32558,7.5,10,3.5,4,6,7,15,43151,80138,3,8,5,2,1,1,2,3,5,1,3,True,False,False,False,False,True,False,False,True
141,68,245540,5.1,5,6.0,4,4,24,8,50494,17187,6,1,7,3,10,5,8,8,10,9,6,False,True,False,False,True,False,False,False,True
142,34,73436,6.8,12,2.1,5,1,34,12,134725,106660,2,9,1,2,9,1,7,1,4,5,5,False,True,False,False,False,True,False,False,True
143,25,122779,5.1,13,3.5,6,9,46,18,145382,145371,6,1,2,6,8,4,8,4,6,4,7,False,False,True,True,False,False,False,False,True
144,52,139891,4.3,9,1.9,8,2,10,9,1164,86326,6,3,3,6,1,3,2,2,10,7,4,True,False,False,True,False,False,False,False,True
145,52,238175,6.4,9,3.5,1,1,40,6,80641,99481,3,4,5,9,7,3,6,2,10,1,1,True,False,False,False,True,False,False,False,True
146,50,47376,3.7,6,4.2,5,3,42,16,70398,58088,10,9,5,3,5,4,7,6,1,9,5,True,False,False,False,False,True,False,False,True
147,76,233530,9.8,11,2.7,9,10,5,9,113422,96655,9,8,2,5,7,9,3,2,1,5,5,True,False,False,False,True,False,False,False,True
148,22,92924,3.1,11,3.4,10,1,41,1,27127,117933,5,1,6,1,3,3,8,3,9,8,2,False,False,True,True,False,False,False,False,True
149,59,44332,6.6,7,3.1,4,4,41,17,52646,124644,5,7,1,3,6,7,5,9,6,9,1,False,False,True,False,False,True,False,False,True
150,56,146001,6.3,10,2.5,8,4,49,15,44124,33055,1,4,6,5,8,7,10,6,9,6,6,False,True,False,True,False,False,False,False,True
151,75,61737,6.1,8,1.9,9,6,44,2,118683,2722,4,8,2,7,9,7,4,2,10,9,9,False,False,True,False,False,True,False,True,False
152,58,145912,9.0,9,2.0,1,3,16,19,111162,97224,1,4,3,10,2,3,6,2,4,1,7,True,False,False,False,True,False,False,False,True
153,45,104031,1.0,6,0.8,8,9,35,0,75525,138233,10,1,6,2,6,4,6,2,6,7,5,False,True,False,True,False,False,False,False,True
154,24,220042,6.8,8,3.8,8,6,17,4,79855,23037,1,7,6,9,3,10,9,3,8,6,2,False,False,True,False,True,False,False,True,False
155,26,198024,5.5,2,4.9,5,7,32,0,33221,134171,7,0,7,3,4,9,7,6,1,6,6,True,False,False,False,False,True,False,False,True
156,25,35991,7.2,10,0.7,10,6,17,6,56962,128001,5,2,2,8,8,3,8,2,8,1,2,False,False,True,True,False,False,False,False,True
157,29,42472,6.1,8,3.8,2,9,6,17,121471,29468,8,3,6,3,3,6,9,10,3,6,4,False,True,False,True,False,False,False,False,True
158,51,74946,5.8,13,2.4,7,2,28,3,56598,8583,4,9,2,6,4,9,6,4,9,9,6,False,True,False,False,True,False,False,True,False
159,50,172921,3.6,11,1.7,5,8,4,8,25623,145703,9,6,5,7,3,10,2,4,8,8,1,False,True,False,False,False,True,False,False,True
160,65,16541,4.7,2,2.7,5,5,15,0,71397,57597,10,2,3,1,3,3,5,2,2,10,2,True,False,False,False,True,False,False,False,True
161,72,144237,12.0,8,1.5,6,2,30,0,121727,842,4,0,4,1,2,10,9,2,10,8,6,True,False,False,True,False,False,False,True,False
162,40,17765,7.2,2,2.8,10,7,4,5,136835,105188,2,3,1,6,10,9,1,4,2,6,8,False,False,True,False,False,True,False,False,True
163,79,58074,8.1,3,2.1,8,5,9,16,128495,141662,3,7,7,4,9,9,6,8,7,6,5,True,False,False,True,False,False,False,False,True
164,41,117795,5.3,7,2.1,1,8,28,15,94879,51247,9,1,2,7,3,5,9,6,7,2,3,True,False,False,True,False,False,False,False,True
165,54,175355,4.3,11,4.0,3,10,28,18,58775,134000,3,6,6,2,1,3,3,8,7,3,9,False,True,False,False,True,False,False,False,True
166,52,116387,7.6,9,0.2,7,6,15,3,116654,116434,1,1,4,1,7,2,6,10,1,9,5,True,False,False,False,False,True,False,False,True
167,61,246233,2.2,3,1.8,9,7,3,9,67473,30057,9,0,5,5,9,2,8,1,3,1,9,False,False,True,False,False,True,False,False,True
168,57,146841,4.7,5,0.0,10,1,0,15,56835,13305,2,8,7,4,5,5,8,10,8,5,3,False,True,False,False,True,False,False,False,True
169,39,163878,5.3,9,2.7,2,2,7,6,105572,99427,2,9,3,7,5,3,3,3,9,4,3,False,False,True,True,False,False,False,False,True
170,44,236590,7.9,7,1.9,4,9,27,1,50247,134415,8,2,3,8,3,7,2,10,8,3,3,True,False,False,True,False,False,False,False,True
171,52,17972,6.8,14,1.6,4,7,0,19,79356,124577,3,5,5,1,1,1,1,7,5,4,5,False,True,False,True,False,False,False,False,True
172,18,164328,5.1,2,2.9,7,7,27,6,29217,64748,3,1,5,8,4,6,10,8,3,3,1,True,False,False,True,False,False,False,False,True
173,52,118903,6.7,5,3.3,5,4,2,6,111992,56674,3,8,1,9,8,5,3,5,7,6,7,False,False,True,False,False,True,False,False,True
174,54,164725,5.4,5,4.0,5,4,49,4,6354,138194,6,1,4,7,5,4,3,1,7,3,9,False,False,True,False,True,False,False,False,True
175,64,118579,8.1,9,6.0,7,3,1,14,108233,68093,4,4,2,6,8,9,6,2,8,10,7,False,True,False,False,True,False,False,False,True
176,31,232741,6.5,2,1.8,2,10,24,18,13621,47737,2,4,5,9,3,8,4,7,8,2,2,False,False,True,False,True,False,False,False,True
177,20,54339,9.5,1,1.6,8,4,36,9,1133,120673,4,9,7,1,8,3,4,9,6,1,8,True,False,False,True,False,False,False,False,True
178,18,171829,5.4,4,2.5,6,10,10,4,83941,98631,3,5,7,1,4,6,2,2,7,5,10,True,False,False,True,False,False,False,False,True
179,22,118376,8.5,4,2.6,5,6,45,4,92077,116900,7,4,3,1,7,9,7,10,2,4,9,False,False,True,True,False,False,False,False,True
180,43,57399,6.2,1,4.8,1,3,17,17,85814,75100,10,7,5,1,9,5,2,1,7,3,3,True,False,False,False,True,False,False,False,True
181,72,59013,4.6,10,3.2,2,10,41,3,89406,99464,4,8,5,5,2,9,5,4,2,2,2,True,False,False,False,True,False,False,False,True
182,31,243677,11.2,7,1.3,6,8,38,13,17469,135555,1,8,6,7,1,2,1,4,2,3,4,True,False,False,False,False,True,False,False,True
183,56,160778,8.6,2,1.2,6,1,39,17,80296,3724,7,6,3,7,10,5,4,7,3,3,10,False,True,False,False,True,False,False,True,False
184,44,184303,6.5,11,3.4,9,6,19,8,104486,129118,4,1,3,8,2,2,6,8,10,1,9,False,True,False,True,False,False,False,False,True
185,26,42909,7.5,13,2.2,6,2,16,16,66464,42645,9,2,3,7,4,6,9,8,8,10,2,False,False,True,False,False,True,False,False,True
186,32,222703,3.8,9,4.3,1,1,6,11,132677,117563,4,4,5,4,7,3,7,7,1,10,1,False,True,False,False,False,True,False,False,True
187,32,203644,3.9,7,3.2,7,4,47,17,93610,94636,7,1,2,2,1,6,2,9,5,2,5,True,False,False,False,False,True,False,False,True
188,43,231951,8.2,13,1.1,3,6,16,15,27477,28490,6,7,6,6,7,7,10,9,2,7,6,True,False,False,True,False,False,False,False,True
